"ID","name","email","stardustCollection","wormholeNavigation","originPlanet_ID","position_ID","spaceSuitColor"
"20000000-0000-4000-8000-000000000050","SpaceFarer 50","spacefarer-050@galactic.example","180","7","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","BLUE"
"20000000-0000-4000-8000-000000000051","SpaceFarer 51","spacefarer-051@galactic.example","215","10","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","GREEN"
"20000000-0000-4000-8000-000000000052","SpaceFarer 52","spacefarer-052@galactic.example","250","2","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","YELLOW"
"20000000-0000-4000-8000-000000000053","SpaceFarer 53","spacefarer-053@galactic.example","285","5","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","BLACK"
"20000000-0000-4000-8000-000000000054","SpaceFarer 54","spacefarer-054@galactic.example","50","8","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","WHITE"
"20000000-0000-4000-8000-000000000055","SpaceFarer 55","spacefarer-055@galactic.example","85","0","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","RED"
"20000000-0000-4000-8000-000000000056","SpaceFarer 56","spacefarer-056@galactic.example","120","3","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","BLUE"
"20000000-0000-4000-8000-000000000057","SpaceFarer 57","spacefarer-057@galactic.example","155","6","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","GREEN"
"20000000-0000-4000-8000-000000000058","SpaceFarer 58","spacefarer-058@galactic.example","190","9","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","YELLOW"
"20000000-0000-4000-8000-000000000059","SpaceFarer 59","spacefarer-059@galactic.example","225","1","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","BLACK"
"20000000-0000-4000-8000-000000000060","SpaceFarer 60","spacefarer-060@galactic.example","260","4","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","WHITE"
"20000000-0000-4000-8000-000000000061","SpaceFarer 61","spacefarer-061@galactic.example","295","7","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","RED"
"20000000-0000-4000-8000-000000000062","SpaceFarer 62","spacefarer-062@galactic.example","60","10","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","BLUE"
"30000000-0000-4000-8000-000000000063","SpaceFarer 63","spacefarer-063@galactic.example","95","2","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","GREEN"
"30000000-0000-4000-8000-000000000064","SpaceFarer 64","spacefarer-064@galactic.example","130","5","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","YELLOW"
"30000000-0000-4000-8000-000000000065","SpaceFarer 65","spacefarer-065@galactic.example","165","8","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLACK"
"30000000-0000-4000-8000-000000000066","SpaceFarer 66","spacefarer-066@galactic.example","200","0","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","WHITE"
"30000000-0000-4000-8000-000000000067","SpaceFarer 67","spacefarer-067@galactic.example","235","3","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","RED"
"30000000-0000-4000-8000-000000000068","SpaceFarer 68","spacefarer-068@galactic.example","270","6","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLUE"
"30000000-0000-4000-8000-000000000069","SpaceFarer 69","spacefarer-069@galactic.example","305","9","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","GREEN"
"30000000-0000-4000-8000-000000000070","SpaceFarer 70","spacefarer-070@galactic.example","70","1","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","YELLOW"
"30000000-0000-4000-8000-000000000071","SpaceFarer 71","spacefarer-071@galactic.example","105","4","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLACK"
"30000000-0000-4000-8000-000000000072","SpaceFarer 72","spacefarer-072@galactic.example","140","7","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","WHITE"
"30000000-0000-4000-8000-000000000073","SpaceFarer 73","spacefarer-073@galactic.example","175","10","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","RED"
"30000000-0000-4000-8000-000000000074","SpaceFarer 74","spacefarer-074@galactic.example","210","2","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLUE"
"30000000-0000-4000-8000-000000000075","SpaceFarer 75","spacefarer-075@galactic.example","245","5","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","GREEN"
"30000000-0000-4000-8000-000000000076","SpaceFarer 76","spacefarer-076@galactic.example","280","8","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","YELLOW"
"30000000-0000-4000-8000-000000000077","SpaceFarer 77","spacefarer-077@galactic.example","315","0","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLACK"
"30000000-0000-4000-8000-000000000078","SpaceFarer 78","spacefarer-078@galactic.example","80","3","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","WHITE"
"30000000-0000-4000-8000-000000000079","SpaceFarer 79","spacefarer-079@galactic.example","115","6","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","RED"
"30000000-0000-4000-8000-000000000080","SpaceFarer 80","spacefarer-080@galactic.example","150","9","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLUE"
"30000000-0000-4000-8000-000000000081","SpaceFarer 81","spacefarer-081@galactic.example","185","1","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","GREEN"
"30000000-0000-4000-8000-000000000082","SpaceFarer 82","spacefarer-082@galactic.example","220","4","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","YELLOW"
"30000000-0000-4000-8000-000000000083","SpaceFarer 83","spacefarer-083@galactic.example","255","7","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLACK"
"30000000-0000-4000-8000-000000000084","SpaceFarer 84","spacefarer-084@galactic.example","290","10","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","WHITE"
"30000000-0000-4000-8000-000000000085","SpaceFarer 85","spacefarer-085@galactic.example","55","2","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","RED"
"30000000-0000-4000-8000-000000000086","SpaceFarer 86","spacefarer-086@galactic.example","90","5","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLUE"
"30000000-0000-4000-8000-000000000087","SpaceFarer 87","spacefarer-087@galactic.example","125","8","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","GREEN"
"30000000-0000-4000-8000-000000000088","SpaceFarer 88","spacefarer-088@galactic.example","160","0","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","YELLOW"
"30000000-0000-4000-8000-000000000089","SpaceFarer 89","spacefarer-089@galactic.example","195","3","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLACK"
"30000000-0000-4000-8000-000000000090","SpaceFarer 90","spacefarer-090@galactic.example","230","6","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","WHITE"
"30000000-0000-4000-8000-000000000091","SpaceFarer 91","spacefarer-091@galactic.example","265","9","33333333-3333-4333-8333-333333333333","33333333-0002-4333-8333-333333333333","RED"
"30000000-0000-4000-8000-000000000092","SpaceFarer 92","spacefarer-092@galactic.example","300","1","33333333-3333-4333-8333-333333333333","33333333-0004-4333-8333-333333333333","BLUE"
"30000000-0000-4000-8000-000000000093","SpaceFarer 93","spacefarer-093@galactic.example","65","4","33333333-3333-4333-8333-333333333333","33333333-0001-4333-8333-333333333333","GREEN"
